ID Proyecto,ID Coleccion,camera_trap,Lat,Lon,Inicio,Fin,No.imagen,Fotode,Fecha,photo_time,T_ambiente,Fase_lunar,Nombre_comun,Clase,Orden,Familia,Genero,Especie,Binomial,N0.Animales,Edad,Sexo,Habitat,Lugar_paso,Notas_Dudas,ID_Carpeta,ID_Foto,Distancia_m,Tecnico
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00218,Animal,9-7-2013,10:21:49 PM,70,nueva,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,A,,Pantano,Transecto,,C1.1n37,PICT0218,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00219,Animal,9-7-2013,10:21:50 PM,70,nueva,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,A,,Pantano,Transecto,,C1.1n37,PICT0219,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00220,Animal,10-7-2013,6:34:32 PM,72,nueva,Venado colorado,Mammalia,Artiodactyla,Cervidae,Mazama,americana,Mazama americana,1,A,,Pantano,Horizontal,,C1.1n37,PICT0220,1,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00229,Animal,12-7-2013,7:57:36 PM,70,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,Transecto,,C1.1n37,PICT0229,5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00230,Animal,12-7-2013,7:57:37 PM,70,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,Transecto,,C1.1n37,PICT0230,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00231,Animal,12-7-2013,7:57:38 PM,70,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,Transecto,,C1.1n37,PICT0231,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00235,Animal,14-7-2013,4:01:05 AM,70,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,Transecto,,C1.1n37,PICT0235,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00236,Animal,14-7-2013,4:01:06 AM,70,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,Transecto,,C1.1n37,PICT0236,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00237,Animal,14-7-2013,4:01:07 AM,70,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,Transecto,,C1.1n37,PICT0237,3,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00241,Animal,15-7-2013,7:23:23 AM,68,creciente,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Cruzado,,C1.1n37,PICT0241,1,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00242,Animal,15-7-2013,7:23:25 AM,68,creciente,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Paralelo,,C1.1n37,PICT0242,2,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00243,Animal,15-7-2013,7:23:26 AM,68,creciente,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Perpendicular,,C1.1n37,PICT0243,3,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00247,Animal,17-7-2013,6:45:41 AM,68,creciente,Guatín,Mammalia,Rodentia,Dasyproctidae,Myoprocta,pratti,Myoprocta pratti,1,A,,Pantano,trillo,,C1.1n37,PICT0247,5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00248,Animal,17-7-2013,6:45:42 AM,68,creciente,Guatín,Mammalia,Rodentia,Dasyproctidae,Myoprocta,pratti,Myoprocta pratti,1,A,,Pantano,trillo,,C1.1n37,PICT0248,5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00249,Animal,17-7-2013,6:45:43 AM,68,creciente,Guatín,Mammalia,Rodentia,Dasyproctidae,Myoprocta,pratti,Myoprocta pratti,1,A,,Pantano,trillo,,C1.1n37,PICT0249,5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00256,Animal,19-7-2013,11:10:46 PM,68,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,trillo,,C1.1n37,PICT0256,5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00257,Animal,19-7-2013,4:27:00 PM,68,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,trillo,,C1.1n37,PICT0257,5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00258,Animal,19-7-2013,11:10:48 PM,68,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,trillo,,C1.1n37,PICT0258,5,Erick Santana
